"","Subj_ID","Observations","Cattell","Proverb","Naming","Sentence_Comprehension_c","Story_Recall","Verbal_Fluency","Age","ToT_Ratio_inverse","Hotel_Task_inverse","RS-NET 1 (DMN, FPN, Language)_Connector_balance","RS-NET 1 (DMN, FPN, Language)_Peripheral_balance","RS-NET 1 (DMN, FPN, Language)_Provincial_balance","RS-NET 1 (DMN, FPN, Language)_Satellite_balance","RS-NET 2 (SMN)_Connector_balance","RS-NET 2 (SMN)_Peripheral_balance","RS-NET 2 (SMN)_Provincial_balance","RS-NET 2 (SMN)_Satellite_balance","RS-NET 3 (CON, FPN, Language)_Connector_balance","RS-NET 3 (CON, FPN, Language)_Peripheral_balance","RS-NET 3 (CON, FPN, Language)_Provincial_balance","RS-NET 3 (CON, FPN, Language)_Satellite_balance","RS-NET 4 (FPN)_Connector_balance","RS-NET 4 (FPN)_Peripheral_balance","RS-NET 4 (FPN)_Provincial_balance","RS-NET 4 (FPN)_Satellite_balance"
"1",1,"CC110033",42,5,0.91429,0.92857,15,21,24,-0.36842,-206.62,-0.840489018457873,0.745610750095686,-4.28664700801373,-4.97979418857368,-0.0281708769666963,-0.0281708769666963,-5.17332087637335,-4.76785576826519,1.79022218990917,-1.88479433519524,-6.63002353738352,-4.61512051684126,-0.71458246128001,0.650726464675993,-4.40671924726425,-6.11146733950268
"2",2,"CC110037",30,6,0.86667,0.8058575,14,21,18,-0.12821,-208.72,0.644357016390513,-0.717839793150317,-4.83694306400036,-4.75690035632682,0.170392985928681,-0.192271887647123,-6.60168291475201,-5.5030706260839,0.484508315448617,-0.526698972922281,-5.99893656194668,-4.90032427327857,0.238891908282349,-0.324496045574497,-4.77209605730407,-4.36663094919591
"3",3,"CC110045",41,5,0.87143,0.888095,14,22,24,-0.33333,-141.76,-0.0241504602322832,-0.0241504602322832,-4.93558012793376,-5.30330490805908,-0.312374685042152,0.25489224962879,-4.85274023910031,-5.05341093456246,0.872273846457381,-0.934130650002486,-5.3061438027975,-4.85415867905444,-0.425267735404344,0.37590630586662,-5.30529298028446,-4.96882074366325
"4",4,"CC110056",24,1,0.81905,0.851785,13,16.5,22,-0.22727,-299.12,-0.572390979424146,0.537365179000603,-5.39725731440294,-5.62040086571715,-0.0961362847666305,0.0770610461364619,-5.95107648620269,-6.13339804299665,1.81125984925167,-1.8513646777419,-8.29610521826059,-5.39816270151775,0.896488104577975,-0.924258901523332,-6.55535689181067,-5.45674460314256
"5",5,"CC110069",41,6,0.78571,0.892855,21,26.5,28,0,-258.75,-1.42310833424261,1.24653241874473,-4.02931209195125,-4.43477720005941,1.05459540325134,-1.11350090116186,-5.18614356965616,-5.18614356965616,1.21836154177804,-1.26271329934854,-6.11478776313998,-5.19849703126583,0.650726464675993,-0.71458246128001,-5.20180646616719,-4.73180283692146
"6",6,"CC110087",36,6,0.82857,0.92857,15,27.5,28,-0.45161,-271.09,0.421040319893636,-0.471787751039237,-4.86091921133686,-5.42053499927229,0.106750369946881,-0.157003748809665,-5.12264035247275,-5.01727983681492,0.484508315448617,-0.526698972922281,-5.99893656194668,-4.90032427327857,-0.0344014267173323,-0.0344014267173323,-4.74741351921464,-4.74741351921464
"7",7,"CC110098",39,3,0.60476,0.7833325,13,17.5,23,-0.4,-501.31,-0.97229292198944,0.912451955566989,-5.01617547447187,-5.19849703126583,0.811086478424632,-0.83353004813357,-7.05142262879455,-5.54734523201828,0.677555085800109,-0.700973616809409,-7.65444322647011,-5.35185813347607,1.17441400208439,-1.21293254569741,-6.48234253306428,-5.22957956456891
"8",8,"CC110126",40,4,0.82381,0.8571425,16,25,22,-0.54839,-390.12,-0.521435802878006,0.493204022416171,-5.70711026474888,-5.70711026474888,1.7493387533441,-1.79895573609865,-6.96176986728838,-5.25702177504995,-0.0430594894604469,-0.0430594894604469,-4.61709875685337,-4.43477720005941,-0.0519597389307111,-0.0519597389307111,-4.46590811865458,-4.21459369037368
"9",9,"CC110174",33,5,0.90952,0.973685,17,25.5,25,-0.3,-159.35,0.0716750367068909,-0.101078634201065,-5.79909265446053,-5.44241771052179,2.39534188333389,-2.44652329473733,-8.29687257494643,-5.6304149690302,0.32790824866087,-0.342596845578723,-8.29610521826059,-5.70711026474888,0.323885121115741,-0.460584407329244,-4.28850057666306,-3.93182563272433
"10",10,"CC110182",36,6,0.78095,0.95238,11,18,18,-0.45714,-132.59,-0.319665118304831,0.245261356567829,-4.68852102522299,-4.68852102522299,-0.183709482068803,0.119749253109926,-4.87596039076965,-4.78065021096533,0.751754607513417,-0.78314021908665,-6.16804046260586,-5.35711024638953,0.933097850190536,-1.15688119679209,-3.81649057870658,-3.81649057870658
"11",11,"CC110187",38,4,0.83333,0.940475,15,26.5,25,-0.23077,-240,-0.889262059486236,0.751987680582879,-4.14906946191135,-4.28260085453587,0.90695940444527,-1.00917372602087,-4.61602020201216,-4.52900882502253,0.756958693304899,-0.802898044519064,-5.77517247074287,-4.9867151103786,1.46101790731583,-1.64093657949347,-4.46590811865458,-4.21459369037368
"12",12,"CC110319",38,5,0.71429,0.92857,20,33,28,-0.21875,-240,0.751987680582879,-0.889262059486236,-4.44068854732247,-4.0352234392143,-1.72365905652412,1.60490275726871,-4.46667410873417,-5.38296484060832,1.07489576205079,-1.10658045831729,-6.50678007614682,-5.40816778747871,0.650726464675993,-0.71458246128001,-4.86312915698767,-5.01727983681492
"13",13,"CC110411",43,6,0.85238,0.988095,16,31.5,25,-0.66667,-242.81,-1.23061473527236,1.11779510808488,-4.40595676152392,-4.78065021096533,2.00248050054371,-2.089391872533,-6.11589212548303,-5.01727983681492,0.0910193983871686,-0.118276740924373,-6.16804046260586,-5.35711024638953,1.6519975268529,-1.81645208181843,-4.61653394463841,-4.48300255201388
"14",14,"CC110606",41,1,0.65714,0.826025,13,17.5,20,-0.46154,-720,0.364643113587909,-0.432864082296279,-4.83694306400036,-4.75690035632682,-1.80828877117927,1.69644928942373,-4.68426569965285,-5.30330490805908,0.813903381695745,-0.832287811948978,-6.64465741216089,-5.95151023160095,0.788679607281509,-0.820880547069497,-5.7876639586369,-5.56452040732269
"15",15,"CC112141",43,4,0.9381,0.8785725,15,22.5,29,-0.4,-168.66,-0.5563451390673,0.509437698491143,-5.06942817393775,-5.35711024638953,1.1374830630571,-1.17124297970302,-6.555830937802,-5.35185813347607,0.68686157494133,-0.696294921965872,-8.29610521826059,-6.29341927884648,-1.81645208181843,1.6519975268529,-4.48158912421674,-4.61512051684126
"16",16,"CC120049",39,4,0.85238,0.916665,14,19,28,-0.16667,-225.47,0.471604910612709,-0.534542150383307,-4.67531794589017,-5.18614356965616,0.0888312137066156,-0.120249128151577,-5.47384506392058,-5.60737645654511,0.431882421425871,-0.448240748574369,-7.05055607761381,-5.79779310911844,2.56633504153965,-2.64443085456367,-7.92818424136634,-5.37196604957118
"17",17,"CC120061",36,2,0.77619,0.610715,17,19,19,-0.66667,-813.09,-0.89445403726498,0.830495371711168,-4.73502817324631,-5.36363683266868,1.07099712163514,-1.1079023355752,-5.99595445238083,-5.40816778747871,1.47804089380749,-1.50992215256494,-8.29610521826059,-5.39816270151775,-1.10966212485469,1.06582246584512,-5.14666356691937,-5.99396142730657
"18",18,"CC120065",39,4,0.8619,0.9464275,18,15.5,25,-0.6,-218.37,1.67006253425054,-1.7462970951513,-5.99893656194668,-4.90032427327857,-1.40200365482507,1.32488573299125,-4.67749084756772,-5.70711026474888,0.205794912979597,-0.237046456483201,-5.41942819229709,-5.70711026474888,2.30258509299405,-2.40694510831829,-5.99728093242942,-5.14998307204222
"19",19,"CC120120",35,0,0.78095,0.887955,16,16.5,25,-0.38095,-215.44,-0.303391366156961,0.266790713420405,-5.35138408748473,-5.45674460314256,-0.936093359170335,0.867500567704723,-4.68426569965285,-5.30330490805908,0.927896277994463,-0.966223100622364,-6.80903930604298,-5.01727983681492,0.788679607281509,-0.820880547069497,-6.48234253306428,-5.22957956456891
"20",20,"CC120123",38,2,0.77143,0.907305,13,22,19,-0.27273,-201,-1.96290772542388,1.83258146374831,-4.61015772749913,-5.30330490805908,2.34624823348023,-2.40270224693626,-8.29687257494643,-5.48479693349065,-0.118276740924373,0.0910193983871686,-5.76152713637236,-5.60737645654511,-0.297632403304949,0.27443684570176,-5.86078622346587,-5.86078622346587
"21",21,"CC120166",38,6,0.91429,0.97619,15,19.5,28,-0.125,-68.12,0.217603370938594,-0.277631736598279,-4.67531794589017,-5.18614356965616,-1.12276274890039,1.0278432177799,-4.38784301999532,-5.14998307204222,0.845909935112355,-0.887891257352457,-6.34680526803358,-4.96051090691369,1.3297541071718,-3.09939904794926,-2.35097890361092,-2.44628908341525
"22",22,"CC120182",40,6,0.80476,0.91416,15,14,26,-0.61905,-480,-0.375692949774494,0.281984051337143,-4.26598839949688,-4.70130647075472,0.481266821524446,-0.528665541894322,-5.18614356965616,-5.18614356965616,0.275533938516133,-0.296806980228782,-7.65444322647011,-5.35185813347607,1.18978816933398,-1.27116405386626,-5.42605073305759,-4.61512051684126
"23",23,"CC120208",34,0,0.84762,0.964285,16,17.5,24,-0.4,-146.75,-0.840489018457873,0.745610750095686,-4.54101254468754,-4.61512051684126,0.20334092401803,-0.2390169004705,-5.10042059796861,-5.88887795833288,1.5623871371001,-1.61902683723071,-8.29610521826059,-4.86423230105982,-2.31352503303238,2.1982250776698,-4.92634747757367,-5.90717673058539
"24",24,"CC120218",40,4,0.84762,0.916665,20,27,27,-0.17647,-118.44,-0.743523387885012,0.594811279839083,-3.9263641226988,-4.25178652313343,0.842033961267663,-0.889535994565335,-5.65307380466414,-5.04693800109382,-0.19062035960865,0.172371225940786,-6.08904487544685,-6.08904487544685,1.06582246584512,-1.10966212485469,-5.48479693349065,-5.48479693349065
"25",26,"CC120264",34,4,0.72857,0.786185,15,20.5,28,-0.75,-161.78,0.885115114405705,-0.928877847379626,-5.70948049577084,-5.17048399503815,-0.711968934800533,0.655851395816248,-4.83296954883849,-5.37196604957118,-0.296806980228781,0.275533938516133,-6.04310778025982,-5.86078622346587,1.18978816933398,-1.27116405386626,-5.01838298088708,-4.86423230105982
"26",27,"CC120276",39,4,0.83333,0.964285,19,19.5,23,-0.33333,-75.59,0.509437698491143,-0.5563451390673,-5.35868051627513,-5.07099844382335,-0.312374685042152,0.25489224962879,-4.76501888692999,-5.17048399503815,-0.710004297626368,0.659712404473708,-5.37395478075366,-5.01727983681492,1.32802545299591,-1.40118297361364,-5.52942908751142,-4.83628190695148
"27",28,"CC120286",38,4,0.85238,0.7394325,4,13.5,22,-0.57895,-529.16,0.74157377446542,-0.810040932031445,-4.98795580532684,-4.82090172066367,-0.881008917729515,0.770336819251075,-4.43477720005941,-4.43477720005941,0.258123270210237,-0.309932681386601,-5.17190344169238,-4.94875989037817,0.896488104577975,-0.924258901523332,-6.55535689181067,-5.45674460314256
"28",29,"CC120309",34,4,0.81429,0.8928575,9,25.5,27,-0.33333,-175.06,-1.12924925813,1.00938115494017,-4.32743844438948,-4.61512051684126,0.0888312137066156,-0.120249128151577,-5.35553750687793,-5.76100261498609,0.234818582894713,-0.246149598327927,-7.82644313545601,-6.03468366622796,-0.350656871613169,0.316669609325033,-5.14666356691937,-5.99396142730657
"29",30,"CC120313",35,6,0.79048,0.8875,15,20.5,28,-0.36364,-383.66,-3.29697581829146,2.97544332669296,-4.64537580658548,-5.68682968141364,1.02234409967301,-1.04824027815959,-8.29687257494643,-5.34754033747601,1.08536706191809,-1.10304688573598,-7.78613643778307,-5.84022628872776,0.139262067333508,-0.166925871315981,-5.5637538300525,-5.78689738136671
"30",31,"CC120319",35,2,0.81905,0.963095,10,15.5,27,-0.57143,-172.87,-1.63705307946707,1.4784096500277,-4.20800388069462,-4.79579054559674,1.35189293440256,-1.39500630172191,-6.21959563993323,-5.30330490805908,1.05939157551483,-1.11185751541813,-6.69332366826995,-4.74741351921464,-0.732367893713227,0.616186139423817,-4.10429489307527,-4.61512051684126
"31",32,"CC120347",40,4,0.7619,0.8571425,20,23,21,-0.5,-272.03,0.164481638665624,-0.197210169287705,-5.90989289341417,-5.21674571285422,-1.02872616120394,0.965194538864324,-4.7522630508983,-5.52545293913178,1.28977279412927,-1.33038516668037,-7.55590509361135,-5.07099844382335,1.45053662984824,-1.51622553071192,-5.2158411447238,-5.39816270151775
"32",33,"CC120376",36,4,0.70952,0.940475,22,22,18,-0.61538,-126.62,0.73878846151615,-0.789214649306179,-5.15696324824231,-5.25227342804663,-0.706392407309966,0.666829872242572,-5.19628464098288,-5.70711026474888,0.0992066500834481,-0.134312337607594,-5.65190421388754,-5.24643910577937,2.39872895354695,-2.4923786646267,-6.48234253306428,-5.22957956456891
"33",34,"CC120409",41,6,0.83333,0.88095,12,26.5,18,-0.25,-139.75,-0.0582689081239758,-0.0582689081239758,-4.08745816019247,-4.35572214678715,-1.00917372602087,0.90695940444527,-4.30226166620502,-4.93087032562739,0.96997923698766,-1.02693725196122,-6.63002353738352,-4.61512051684126,2.08389589202922,-2.21046980408624,-5.52942908751142,-4.83628190695148
"34",35,"CC120462",37,2,0.71905,0.8690475,14,12.5,18,-0.4,-469.62,0.736750818042077,-0.77406862291217,-5.90989289341417,-5.21674571285422,-0.889535994565335,0.842033961267663,-5.2458537970123,-5.36363683266868,-0.237046456483201,0.205794912979597,-5.41942819229709,-5.70711026474888,1.46101790731583,-1.64093657949347,-4.8056590467375,-4.01720168637322
"35",36,"CC120469",41,6,0.92381,0.988095,16,27,25,-0.03125,-240,0.657136743036912,-0.711314484515394,-5.55793059764364,-4.79579054559674,-3.10768638819783,2.81961977430697,-4.80911736361129,-5.21458247171946,0.335472736288129,-0.371563556432483,-5.4971682252932,-5.36363683266868,0.53248712054717,-0.575207882695259,-5.2158411447238,-5.39816270151775
"36",37,"CC120470",44,4,0.76667,0.97619,16,28,28,-0.06667,-382.22,1.62141410348082,-1.6653455443724,-7.13608535698365,-5.26428318008206,-1.63119940421561,1.50507789710986,-4.26102150186854,-5.48479693349065,0.581443190979944,-0.619680028678073,-6.34680526803358,-4.96051090691369,-1.96571277635149,1.81488188664891,-4.61264220082679,-4.90032427327857
"37",38,"CC120550",38,1,0.81429,0.869045,22,14,19,-0.58333,-302.12,-0.454255272277596,0.333144446528538,-4.02931209195125,-4.43477720005941,-0.0108500160240657,-0.0108500160240657,-6.08995149382264,-5.75347925720142,0.501976008489008,-0.516144785243591,-7.78613643778307,-5.84022628872776,1.17441400208439,-1.21293254569741,-6.48234253306428,-5.22957956456891
"38",39,"CC120640",33,5,0.84286,0.802975,17,21,26,-0.4,-208.31,0.594811279839083,-0.743523387885012,-3.98461722739793,-4.17877324183889,1.85925878086552,-1.90289135909455,-8.29687257494643,-5.34754033747601,0.898123427918706,-0.923597307056593,-7.65444322647011,-5.35185813347607,0.191160505461159,-0.248811298062787,-4.72849340202009,-5.19849703126583
"39",40,"CC120727",42,2,0.77143,0.916665,14,24,23,-0.13043,-118.97,0.380772495517793,-0.421994410059375,-5.99893656194668,-4.90032427327857,-1.12276274890039,1.0278432177799,-4.32247565504735,-5.30330490805908,0.927896277994463,-0.966223100622364,-6.4030221692153,-5.10373918508504,0.571913315745829,-0.596636280179102,-5.63693016766836,-6.14775579143435
"40",41,"CC120764",39,4,0.83333,0.892855,14,17.5,27,-0.61765,-49.66,-0.21868920096483,0.178691788743376,-5.30330490805908,-5.30330490805908,0.965194538864324,-1.02872616120394,-5.5300902445603,-4.75690035632682,1.00395167043258,-1.03886228426234,-6.16804046260586,-5.35711024638953,-0.0344014267173323,-0.0344014267173323,-4.49361770008234,-5.08140436498446
"41",42,"CC120795",41,4,0.85238,0.964285,17,11,24,-0.5625,-161,-0.703097511413113,0.673344553263766,-5.2999826458671,-6.39859493453521,1.80484009794627,-1.85241098799956,-8.29687257494643,-5.21674571285422,0.390576495614414,-0.415415438961332,-6.21860011969173,-5.52545293913178,-2.77834137472923,2.46626156028123,-4.22008396470561,-5.23168487638409
"42",44,"CC120987",33,4,0.72381,0.916665,14,16,20,-0.625,-397.51,-0.366955253346289,0.183322057127538,-3.68191078479784,-3.8642323415918,1.1374830630571,-1.17124297970302,-6.96176986728838,-5.25702177504995,1.41437732986272,-1.47856963722906,-7.38709023565676,-4.67904003455455,-0.460584407329244,0.323885121115741,-3.65762691060983,-4.83628190695148
"43",45,"CC121106",32,4,0.71905,0.95238,8,25,28,-0.72727,-107.91,0.196014883925957,-0.244905043095723,-5.10373918508504,-5.10373918508504,1.07099712163514,-1.1079023355752,-5.99595445238083,-5.40816778747871,0.659712404473708,-0.710004297626368,-5.93555535266847,-4.75690035632682,1.45053662984824,-1.51622553071192,-5.62311457158875,-5.06349878365332
"44",46,"CC121111",37,1,0.59048,0.7476175,15,16.5,18,-0.4,-379.69,0.537365179000603,-0.572390979424146,-6.09266642761695,-5.13715498258951,-0.466425807897852,0.429385291825816,-5.30219871325601,-5.55351314153692,-0.216722983511287,0.14117961346278,-4.61422002150801,-4.70953020131233,-2.77834137472923,2.04476612338064,-3.22140534832531,-3.99459523655879
"45",47,"CC121144",35,4,0.82381,0.92857,12,23,26,-0.42105,-297.31,1.05939157551483,-1.11185751541813,-5.99893656194668,-4.90032427327857,-2.65253749117195,2.46510402249182,-4.4235150737373,-7.31388683163346,0.677555085800109,-0.700973616809409,-6.55488262099314,-5.57405336798142,0.808077147233922,-0.864295436755775,-5.30529298028446,-4.96882074366325
"46",48,"CC121158",40,5,0.87619,0.940475,20,21,28,-0.4,-27.75,-1.63705307946707,1.4784096500277,-4.20800388069462,-4.79579054559674,1.13703332165083,-1.1916471546353,-6.05970713720423,-4.88105214086258,1.05939157551483,-1.11185751541813,-6.2872387894571,-4.82090172066367,-1.64093657949347,1.46101790731583,-4.33073334028633,-4.33073334028633
"47",50,"CC121200",39,6,0.87619,1,15,21.5,26,-0.22727,-114.65,-0.303391366156961,0.266790713420405,-5.35138408748473,-5.45674460314256,0.924012777968065,-0.967744013463071,-6.81014245011514,-4.86423230105982,1.07489576205079,-1.10658045831729,-6.50678007614682,-5.40816778747871,-0.200488860749403,0.160560065012442,-4.80765741237664,-6.31173480915291
"48",51,"CC121317",37,4,0.73333,0.92872,14,18.5,25,-0.48148,-213,-1.32264433404343,1.21616807741975,-4.47875626113243,-4.94875989037817,-0.0176216013498196,-0.0176216013498196,-5.89219654544931,-5.10373918508504,1.53448652908339,-1.56317199360905,-8.29610521826059,-5.54734523201828,1.56064774826467,-1.61938824328727,-5.99728093242942,-5.14998307204222
"49",52,"CC121397",37,5,0.82857,0.939285,2,10.5,27,-0.2,-94.19,-1.04450802967491,0.988477473849983,-4.77964856532102,-5.9427993751267,1.413661299688,-1.45484441176053,-8.29687257494643,-5.09091466015452,0.897261824928853,-0.923945801112276,-8.29610521826059,-5.25702177504995,-0.945849534115699,0.843970070294529,-4.25561270981822,-4.94875989037817
"50",53,"CC121411",39,5,0.86667,0.964285,19,29.5,26,-0.21429,-259.53,-0.0364696797813913,-0.0364696797813913,-4.76927119666852,-4.61512051684126,-0.561518738081509,0.427710717055484,-4.06044301054642,-4.21459369037368,1.49165487677772,-1.55110233542114,-7.44658509915773,-4.80752776954247,0.274436845701761,-0.297632403304949,-6.14918029309974,-5.63835466933375
"51",54,"CC121428",37,2,0.78095,0.916665,15,18.5,26,-0.42308,-198.94,0.347922152829138,-0.381475951738142,-5.30149413345837,-5.75347925720142,-1.02872616120394,0.965194538864324,-4.7522630508983,-5.52545293913178,0.356674943938732,-0.375387652870886,-6.60077711758863,-5.75347925720142,1.32802545299591,-1.40118297361364,-5.52942908751142,-4.83628190695148
"52",55,"CC121479",41,4,0.81429,0.963095,15,17,26,-0.46875,-289.5,0.089438562647241,-0.143017506834925,-4.95992662410419,-5.04693800109382,-1.40200365482507,1.32488573299125,-4.7522630508983,-5.52545293913178,1.02656526233441,-1.04673402789944,-7.05055607761381,-5.79779310911844,0.37590630586662,-0.425267735404344,-4.96683267143786,-5.30330490805908
"53",56,"CC121795",33,6,0.78571,0.89226,16,25,25,-0.3,-143.94,-2.50715725872282,2.2458897493175,-4.17975744007023,-5.22957956456891,1.32488573299125,-1.40200365482507,-5.0166173657738,-5.12197788143163,0.397868572000605,-0.410535872019883,-8.29610521826059,-5.88093194910298,2.08389589202922,-2.21046980408624,-5.8181027316855,-4.71949044301739
"54",57,"CC122172",41,3,0.8619,0.92738,16,30.5,27,-0.7,-188.72,0.320598887464923,-0.347835995271528,-5.58891186044685,-5.84022628872776,-0.331997956226292,0.299877345545599,-5.35553750687793,-5.76100261498609,0.616709653425672,-0.634972410826314,-8.29610521826059,-5.54734523201828,1.17441400208439,-1.21293254569741,-5.7876639586369,-5.56452040732269
"55",58,"CC122405",41,6,0.75238,0.916665,15,22.5,27,-0.54286,-433.63,-0.626829299522297,0.568518939999009,-4.73502817324631,-5.36363683266868,1.78104781363313,-1.88631178616928,-5.71307252156329,-4.68345310438214,0.747955417054941,-0.768784594765565,-7.70029520342012,-5.5030706260839,-1.27116405386626,1.18978816933398,-4.60960478305596,-5.42053499927229
"56",59,"CC122620",38,1,0.80476,0.95238,17,22.5,24,-0.45833,-387.53,-0.0364696797813916,-0.0364696797813916,-4.61370508843793,-4.76785576826519,0.655851395816248,-0.711968934800533,-4.7522630508983,-5.52545293913178,2.55963019598394,-2.71866038021423,-7.38709023565676,-4.67904003455455,0.37590630586662,-0.425267735404344,-4.96683267143786,-5.30330490805908
"57",60,"CC210023",43,6,0.81429,0.8690475,15,12,31,-0.73913,-99.03,-1.72899714749174,1.57811544130506,-4.2318155528507,-5.09681299033731,0.811086478424632,-0.83353004813357,-6.35740889705386,-5.79779310911844,0.74717914736047,-0.769149670805632,-8.29610521826059,-5.39816270151775,-2.77834137472923,2.20783999546769,-3.77040216620222,-3.99354571751643
"58",61,"CC210051",35,4,0.81905,0.8258125,11,24.5,35,-0.83333,-480,-1.5357913722658,1.36867275977007,-4.12264403174346,-4.61512051684126,-0.0360104375230332,-0.0360104375230332,-4.79744207363521,-4.61512051684126,0.963396481509552,-0.987402207153632,-8.29610521826059,-5.39816270151775,0.668454567969574,-0.705569700558502,-5.70877001616724,-5.30330490805908
"59",62,"CC210088",38,3,0.85714,0.95238,16,28,36,-0.52,-267.53,-1.72899714749174,1.57811544130506,-4.28664700801374,-4.97979418857368,2.75060981552101,-2.89867056071086,-7.5569505720129,-4.91789324239764,0.813903381695745,-0.832287811948979,-7.74413662762799,-5.66469508594815,-0.538440790798964,0.465215112513939,-4.38701417618492,-5.30330490805908
"60",63,"CC210124",31,3,0.85238,0.739215,15,21,35,-0.52632,-409.22,-0.0364696797813914,-0.0364696797813914,-4.95300618125962,-4.48300255201388,-2.22354188565359,1.98211319771927,-4.14313472639153,-4.83628190695148,0.471851489334215,-0.493933756095773,-6.96082199991883,-5.45674460314256,0.571913315745829,-0.596636280179102,-6.14918029309974,-5.63835466933375
"61",64,"CC210148",41,2,0.7619,0.879905,13,23.5,30,-0.5,-507.22,-0.840489018457873,0.745610750095686,-4.2318155528507,-5.09681299033731,0.42886168591456,-0.495915011030236,-4.87596039076965,-4.78065021096533,1.63155571768772,-1.68206860346901,-6.86223476368033,-5.1574866714419,0.160560065012442,-0.200488860749404,-5.62311457158875,-5.06349878365332
"62",65,"CC210172",38,2,0.89048,0.92619,19,25.5,31,-0.21875,-133.84,-1.5357913722658,1.36867275977007,-3.96578942958381,-4.93087032562739,0.354479553375297,-0.376913206179724,-6.60168291475201,-5.5030706260839,1.00302175609593,-1.03919999646643,-8.29610521826059,-4.99147861197872,-0.864295436755775,0.808077147233922,-5.12197788143163,-5.12197788143163
"63",66,"CC210182",36,4,0.88095,0.882895,14,18.5,31,-0.47826,-122.34,0.620552958590157,-0.644190335833414,-6.25728437270263,-5.66949770780051,-0.0176216013498196,-0.0176216013498196,-5.55461933633998,-5.30330490805908,1.14138931802417,-1.17000228475478,-7.65444322647011,-5.35185813347607,1.6519975268529,-1.81645208181843,-4.48158912421674,-4.61512051684126
"64",67,"CC210250",37,4,0.85238,0.79107,14,32,29,-0.54167,-223.78,-1.19619261700697,1.12274736440335,-4.73502817324631,-5.36363683266868,1.2849418668596,-1.33170617083549,-6.86328078888031,-4.99147861197872,2.07709136433488,-2.14768413177608,-7.55590509361135,-5.07099844382335,-2.77834137472923,2.20783999546769,-3.50110105906135,-4.45661250408879
"65",69,"CC210314",33,4,0.76667,0.7857125,13,21.5,34,-0.41026,-720,0.74157377446542,-0.810040932031445,-5.59718662839038,-4.49857433972227,0.20334092401803,-0.2390169004705,-5.55461933633998,-5.30330490805908,0.581443190979944,-0.619680028678073,-5.3630511811146,-5.49658257373913,-1.81645208181843,1.6519975268529,-4.48158912421674,-4.61512051684126
